name,gender,nationality,nationalityID,birth
Chaoko,other,Spain,Q29,1997
K Long,other,Israel,Q801,2000
Nats Getty,other,United States,Q30,1992
Angelica Falkeling,other,Sweden,Q34,1988
Sara Forsberg,other,Finland,Q33,1994
Asha Smara Darra,female,Indonesia,Q252,1977
Kataluna Enriquez,female,United States,Q30,1995
Robertina Manganaro,female,Italy,Q38,1958
Patricia Ramírez,female,Argentina,Q414,1981
Fola Francis,female,Nigeria,Q1033,1994
Pepper LaBeija,female,United States,Q30,1948
Hailie Sahar,female,United States,Q30,1988
Dorian Corey,female,United States,Q30,1937
Jiratchaya Sirimongkolnawin,female,Thailand,Q869,1991
Gogo Graham,female,United States,Q30,1991
Cy Lauz,female,United States,Q30,2000
Maya Massafera,female,Italy,Q38,1980
Isis King,female,United States,Q30,1985
Adrienne Wu,other,Canada,Q16,1990
Eduardo Bergara Leumann,male,Argentina,Q414,1932
Tyson Yoshi,male,Hong Kong,Q8646,1994
Willy Chavarria,male,United States,Q30,1967
Victor Joris,male,United States,Q30,1929
Macario Jiménez,male,Mexico,Q96,1967
Fred Spillmann,male,Switzerland,Q39,1915
Gustave Tassell,male,United States,Q30,1926
Gregor Clemens,male,Germany,Q183,1982
Greg Herman,male,United States,Q30,1972
Graham Smith,male,United Kingdom,Q145,1938
Govind Kumar Singh,male,India,Q668,1986
Per Holknekt,male,Sweden,Q34,1960
Dirk van Saene,male,Belgium,Q31,1959
Sighsten Herrgård,male,Sweden,Q34,1943
Italo Zucchelli,male,Italy,Q38,1965
Owe Sandström,male,Sweden,Q34,1944
Tanju Babacan,male,Turkey,Q43,1968
Cemil İpekçi,male,Turkey,Q43,1948
Panos Papadopoulos,male,Greece,Q41,1958
Indashio,male,United States,Q30,1984
Miguel de la Torre,male,Colombia,Q739,1970
Frank Mechaly,male,France,Q142,1975
Felipe Oliveira Baptista,male,Portugal,Q45,1975
Henry Grethel,male,United States,Q30,1931
Henri Willis Bendel,male,United States,Q30,1868
Henri Strzelecki,male,Poland,Q36,1925
Hendrik Vermeulen,male,South Africa,Q258,1982
Pär Engsheden,male,Sweden,Q34,1967
Rohdi Heintz,male,Sweden,Q34,1943
Herbert Levine,male,United States,Q30,1916
Herbert Kasper,male,United States,Q30,1926
Pavel Ivančic,male,Czech Republic,Q213,1979
Pierre Yantorny,male,France,Q142,1874
Lakis Gavalas,male,Greece,Q41,1952
Émile Pingat,male,France,Q142,1820
Arthur Arbesser,male,Austria,Q40,1983
Justin Fuchs,male,Germany,Q183,1998
Telfar Clemens,male,United States,Q30,1985
Ludwig Kirschner,male,Germany,Q183,1872
Roland Pleterski,male,Austria,Q40,1920
Diego Dolcini,male,Italy,Q38,1969
Svenbörje Gaborn,male,Sweden,Q34,1917
Miguel Ángel Vergara,male,Panama,Q804,1994
Jimmy Webb,male,United States,Q30,1957
Richard Nott,male,United Kingdom,Q145,1947
Gordon Henderson,male,United States,Q30,1957
Ito Curata,male,Philippines,Q928,1959
Maurice Levin,male,United States,Q30,1926
Stephen West,male,United States,Q30,1989
Carmelo Pomodoro,male,United States,Q30,1956
Tamás Náray,male,Hungary,Q28,1959
Arthur McGee,male,United States,Q30,1933
Santiago Artemis,male,Argentina,Q414,1990
Sōichirō Itō,male,Japan,Q17,1977
Ciaran Sweeney,male,Ireland,Q27,1971
Christopher Kane,male,United Kingdom,Q145,1982
Christopher Chronis,male,Australia,Q408,1961
Jukka Rintala,male,Finland,Q33,1952
Saïd Mahrouf,male,Morocco,Q1028,1973
Tamara Mascara,male,Austria,Q40,1987
Ecco2K,male,Sweden,Q34,1994
Erik Rud Brandt,male,Kingdom of Denmark,Q756617,1943
David Roberts,male,United Kingdom,Q145,1970
David Rappaport,male,United States,Q30,1914
Ivar Tangen,male,Norway,Q20,1919
Maurice Plas,male,France,Q142,1901
John Kloss,male,United States,Q30,1937
Rudi Verdonik,male,Slovenia,Q215,1910
Armando Mafud,male,Mexico,Q96,1948
Campbell Ajiye,male,Nigeria,Q1033,1981
Domenique Heidy,male,Brazil,Q155,1986
Amine Bendriouich,male,Morocco,Q1028,1986
Noureddine Amir,male,Morocco,Q1028,1967
Gok Wan,male,United Kingdom,Q145,1974
Giorgio di Sant' Angelo,male,Italy,Q38,1933
Giles Deacon,male,United Kingdom,Q145,1969
Christian Francis Roth,male,United States,Q30,1969
Pathé'O,male,Burkina Faso,Q965,1950
Alberto Dalcò,male,Kingdom of Italy,Q172579,1902
Luigi Bianchi,male,Kingdom of Italy,Q172579,1882
Arocle Datti,male,Kingdom of Italy,Q172579,1895
Nazareno Fonticoli,male,Kingdom of Italy,Q172579,1906
Giovanni Cesare Guidi,male,Italy,Q38,1908
Kwaku Bediako,male,Ghana,Q117,1986
Deepak Perwani,male,Pakistan,Q843,1973
Dawid Woliński,male,Poland,Q36,1977
David Tutera,male,United States,Q30,1966
David Shilling,male,United Kingdom,Q145,1956
Jonathan Anderson,male,United Kingdom,Q145,1984
Tim Van Steenbergen,male,Belgium,Q31,1977
Dror Kontento,male,Israel,Q801,1986
Ronald Kolodzie,male,United States,Q30,1940
Edwin Hardy Amies,male,United Kingdom,Q145,1909
Edward Sexton,male,United Kingdom,Q145,1942
Edouard Vermeulen,male,Belgium,Q31,1957
Johnson Hartig,male,United States,Q30,1970
James Holder,male,United Kingdom,Q145,1971
Fabrizio Viti,male,Italy,Q38,1967
Fabrice Simon,male,Haiti,Q790,1951
Andreas Kronthaler,male,Austria,Q40,1952
Stephen Bruce,male,United States,Q30,1932
Frederick Scholte,male,United Kingdom,Q145,1865
Enrique Ollero,male,Spain,Q29,1926
Rafael Herrera,male,Spain,Q29,1925
Blondey McCoy,male,England,Q21,1997
Tsukumo Igarashi,male,Japan,Q17,1933
Mitzy,male,Mexico,Q96,1955
Franco Bertoli,male,Kingdom of Italy,Q172579,1910
Giovanni Fercioni,male,Kingdom of Italy,Q172579,1886
Elio Berhanyer,male,Spain,Q29,1929
Elie Tahari,male,Israel,Q801,1952
Sally Berg,male,Kingdom of the Netherlands,Q29999,1857
Bruce Oldfield,male,United Kingdom,Q145,1950
Todd Thomas,male,United States,Q30,1961
Dapper Dan,male,United States,Q30,1944
Pier Giorgio Silvestrin,male,Italy,Q38,1968
Wesley Petermann,male,Switzerland,Q39,1994
Rogan Gregory,male,United States,Q30,1972
Mike Amiri,male,United States,Q30,1977
Victor Costa,male,United States,Q30,1935
August Mannerheim,male,Grand Principality of Finland,Q62633,1805
Mossimo Giannulli,male,United States,Q30,1963
Donald Brooks,male,United States,Q30,1928
Don O'Neill,male,Ireland,Q27,1966
Don Loper,male,United States,Q30,1906
Domingo Zapata,male,United States,Q30,1974
Col. Littleton,male,United States,Q30,1943
Clinton Kelly,male,United States,Q30,1969
Christian Cota,male,Mexico,Q96,1982
Chris Benz,male,United States,Q30,1982
Charlie Allen,male,United Kingdom,Q145,1955
Charles Kleibacker,male,United States,Q30,1921
Sexy Steel,male,Nigeria,Q1033,1977
