name,gender,nationality,nationalityID,birth
Susan Allen,other,United States,Q30,1963
Pamina Sebastião,other,Angola,Q916,1988
Francesca McQoid,other,Colombia,Q739,1988
Alex Marzano-Lesnevich,other,United States,Q30,1977
Shain Neumeier,other,United States,Q30,1987
Lydia X. Z. Brown,other,United States,Q30,1993
Tony Briffa,other,Australia,Q408,1971
Martín Berenguer,male,Spain,Q29,1972
Kylar Broadus,male,United States,Q30,1963
Chase Strangio,male,United States,Q30,1982
Ljuba Prenner,male,Socialist Federal Republic of Yugoslavia,Q83286,1906
Shannon Minter,male,United States,Q30,1961
Dean Spade,male,United States,Q30,1977
Thomas Beatie,male,United States,Q30,1974
Marie Louise Stern-Loridan,female,Germany,Q183,1911
Marie-Luise Hilger,female,Germany,Q183,1912
Marian Wright Edelman,female,United States,Q30,1939
Maria Voce,female,Italy,Q38,1937
Margit Fleckenstein,female,Germany,Q183,1940
Margarethe Nimsch,female,Germany,Q183,1940
Sabine Wernet,female,Germany,Q183,1951
Sabine Weiss,female,Germany,Q183,1958
Sabine Berghahn,female,Germany,Q183,1952
Sabine Amsbeck-Dopheide,female,Germany,Q183,1959
Florence Benoît-Rohmer,female,France,Q142,1952
Margarete Berent,female,Germany,Q183,1887
Margaret A. Ryan,female,United States,Q30,1964
Maria Sabine Augstein,female,Germany,Q183,1949
Mandana Mauss,female,Germany,Q183,1971
Virginie Korte-van Hemel,female,Kingdom of the Netherlands,Q29999,1929
Madeleine De Meulemeester,female,Belgium,Q31,1904
Lynn Schenk,female,United States,Q30,1945
Monica Macovei,female,Romania,Q218,1959
Anke Van dermeersch,female,Belgium,Q31,1972
Yasmine Kherbache,female,Belgium,Q31,1972
Corry Tendeloo,female,Kingdom of the Netherlands,Q29999,1897
Ina Brouwer,female,Kingdom of the Netherlands,Q29999,1950
Verena Wiedemann,female,Germany,Q183,1957
Mercedes Van Volcem,female,Belgium,Q31,1971
Philo Weijenborg-Pot,female,Kingdom of the Netherlands,Q29999,1927
Ruth Arnet Gantner,female,Switzerland,Q39,1962
Catherine O’Regan,female,South Africa,Q258,1957
Duma Nokwe,female,South Africa,Q258,1927
Fethiye Çetin,female,Turkey,Q43,1950
Ute Vogt,female,Germany,Q183,1964
Judy Sheindlin,female,United States,Q30,1942
Uta Heinrich,female,Germany,Q183,1951
Vera Chirwa,female,Malawi,Q1020,1932
Roslyn O. Silver,female,United States,Q30,1946
Lidia Yusupova,female,Russia,Q159,1961
Helvi Sipilä,female,Finland,Q33,1915
Gu Kailai,female,People's Republic of China,Q148,1958
Anne-Marie Hiemeliers,female,Belgium,Q31,1969
Livia Leu Agosti,female,Switzerland,Q39,1961
Kim Gandy,female,United States,Q30,1954
Robin Carnahan,female,United States,Q30,1961
Gabi van Driem,female,Kingdom of the Netherlands,Q29999,1951
Ayla Akat Ata,female,Turkey,Q43,1976
Aloun Ndombet-Assamba,female,Jamaica,Q766,1955
Cornelia Dorabuji,female,British Raj,Q129286,1866
Silvia Corzo,female,Colombia,Q739,1973
