name,gender,nationality,nationalityID,birth
Kellie Loder,other,Canada,Q16,1988
Lydia Piscevich,female,United States,Q30,1919
Silvia Koton,female,Israel,Q801,1961
Sawsan Al Majali,female,Jordan,Q810,1960
Viv Bennett,female,United Kingdom,Q145,1957
Noëlle Buton,female,France,Q142,1958
Kathy Lie,female,Norway,Q20,1964
Maite Buenafuente Moreno,female,Spain,Q29,1960
Maria Palmira Tito de Morais,female,Portugal,Q45,1912
Sahar Fares,female,Lebanon,Q822,1993
Yūko Shirakawa,female,Japan,Q17,1973
Anette Sanford,female,Dominica,Q784,1983
Zaida Hagman,female,Sweden,Q34,1931
Christine Bruzek-Kohler,female,United States,Q30,1952
Chiyo Mikami,female,Japan,Q17,1891
Chieko Nohno,female,Japan,Q17,1935
Cathy Giessel,female,United States,Q30,1951
Cathy Crowe,female,Canada,Q16,1952
Catherine M. Hall,female,United Kingdom,Q145,1922
Catharine Merrill,female,United States,Q30,1824
Renske Helmer-Englebert,female,Kingdom of the Netherlands,Q29999,1969
Martha Baker,female,United States,Q30,1838
Elly Schürmann,female,German Democratic Republic,Q16957,1924
Jennifer Callahan,female,United States,Q30,1964
Emma Ann Reynolds,female,United States,Q30,1862
Anna DeCosta Banks,female,United States,Q30,1869
Ella King Newsom,female,United States,Q30,1838
Päivi Härkin,female,Finland,Q33,1957
Sanna Antikainen,female,Finland,Q33,1988
Marit Myklebust,female,Norway,Q20,1962
Lieselotte Hoeschl Ornellas,female,Brazil,Q155,1917
Mamita Fox,female,Kingdom of the Netherlands,Q29999,1943
Suzanne Lippens-Orban,female,Belgium,Q31,1887
Claire Shulman,female,United States,Q30,1926
Claire Rayner,female,United Kingdom,Q145,1931
Claire Fagin,female,United States,Q30,1926
Claire Bertschinger,female,United Kingdom,Q145,1953
Cirie Fields,female,United States,Q30,1970
Dafna Meir,female,Israel,Q801,1977
Eufrosyni Karasarlidou,female,Greece,Q41,1962
Letitia Mumford Geer,female,United States,Q30,1852
Caroline Burghardt,female,United States,Q30,1834
Ellen Kettle,female,Australia,Q408,1922
Sophronia Bucklin,female,United States,Q30,1828
Mary Bell,female,United States,Q30,1840
Terry Underwood,female,Australia,Q408,1944
Maria Köstler,female,Austria,Q40,1879
Alexandrine Duronssoy,female,France,Q142,1863
Josephine Kulea,female,Kenya,Q114,1984
Erica Brühlmann-Jecklin,female,Switzerland,Q39,1949
Lorena Villa García,female,Spain,Q29,1987
Mathilde de Cléron d’Haussonville,female,France,Q142,1874
Karin Elfverson,female,Sweden,Q34,1886
Renée Bordier,female,Switzerland,Q39,1902
Anne Gácsi-Novadovsky,female,Kingdom of Hungary,Q25395037,1888
Eugénie Henry,female,Belgium,Q31,1877
Alma Charlotte Brunskog,female,Sweden,Q34,1860
Minhua Hu,female,People's Republic of China,Q148,1968
Shouzhen Cheng,female,People's Republic of China,Q148,1962
Florence Deakins Becker,female,United States,Q30,1878
Tarja Santalahti,female,Finland,Q33,1960
Barbara Millicent Roberts,female,United States,Q30,1959
Thora Simonsen,female,Norway,Q20,1874
Rie Nakamura,female,Japan,Q17,1974
Teresa De Caprio,female,Italy,Q38,1885
Geneviève Hennet de Goutel,female,France,Q142,1885
Charlotte Elizabeth McKay,female,United States,Q30,1818
Esther Freudenberg,female,Germany,Q183,1968
Isabel Sharman,female,United Kingdom of Great Britain and Ireland,Q174193,1865
Christina McDonald,female,New Zealand,Q664,1911
Hodierna of St Albans,female,Kingdom of England,Q179876,1140
Adaline Weston Couzins,female,United States,Q30,1815
Lisbeth Hockey,female,Austria,Q40,1918
Pauline Cafferkey,female,United Kingdom,Q145,1975
Augusta Seweriin,female,Norway,Q20,1910
Emily L. Loveridge,female,United States,Q30,1860
Elizabeth Nixon,female,Australia,Q408,1865
Marie Hartig Kendall,female,United States,Q30,1854
Jana Brezinova,female,Czech Republic,Q213,1956
Senta Driver,female,United States,Q30,1942
Doris Smith Suddarth,female,United States,Q30,1924
Janina Gizycka,female,Poland,Q36,1877
Sœur Flavia,female,Luxembourg,Q32,1876
Jan Noble,female,Australia,Q408,1933
Dorothy Pocklington,female,United States,Q30,1934
Róża Maria Goździewska,female,Poland,Q36,1936
Agnes Gabriel-Kummer,female,Austria,Q40,1888
Meridean Maas,female,United States,Q30,1934
Anne Wahl,female,France,Q142,1923
Omo-Oba Adenrele Ademola,female,Nigeria,Q1033,1916
Olive M. Whitlock,female,United States,Q30,1902
Gillian Larson,female,United States,Q30,1947
Edith Louisa Elisabeth Fenwick,female,New Zealand,Q664,1865
Oresta Synenka,female,Ukraine,Q212,1933
Lucie Odier,female,Switzerland,Q39,1886
Adele Baratz,female,United States,Q30,1926
Floralba Rondi,female,Italy,Q38,1924
Clara Dunham Crowell,female,United States,Q30,1876
Marie van Gastel,female,Belgium,Q31,1892
Maruja Ycardo Agulló,female,Spain,Q29,1935
Elke Bröhl,female,Germany,Q183,1944
Erin Tobin,female,United States,Q30,1983
Anna Hamilton,female,France,Q142,1864
Herminia Severini,female,Argentina,Q414,1926
Alta Bates,female,United States,Q30,1879
Sadie Heath Cabaniss,female,United States,Q30,1865
Donna Howard,female,United States,Q30,1951
Diane Carlson Evans,female,United States,Q30,1946
Diana Anderson,female,United Kingdom,Q145,1935
Denise Nurse,female,United Kingdom,Q145,1976
Dee Ryall,female,Australia,Q408,1967
Debra Medina,female,United States,Q30,1962
Lucy Finch,female,Malawi,Q1020,1943
Mary Evelyn Wood,female,Cayman Islands,Q5785,1900
Maria Cristina Luinetti,female,Italy,Q38,1969
Meriem Saâdane,female,France,Q142,1932
Patricia Griffin,female,British overseas territories,Q46395,1907
Emma Jeffcoat,female,Australia,Q408,1994
Margarita Mauri Junqué,female,Spain,Q29,1951
Jean Kapata,female,Zambia,Q953,1960
Leila Yates,female,Cayman Islands,Q5785,1899
Jo March,female,United States,Q30,1846
Adelheid von Stösser,female,Germany,Q183,1953
Hélène Mar,female,Belgium,Q31,1888
Johanna Eekman,female,Kingdom of the Netherlands,Q29999,1897
Marcella LeBeau,female,United States,Q30,1919
Molly Miller-Aichholz,female,Austrian Empire,Q131964,1844
Miss Georgiana Fyfe,female,Scotland,Q22,1868
