name,gender,nationality,nationalityID,birth
Cary Bass-Deschênes,other,United States,Q30,1966
Eustratius Garidas,other,Byzantine Empire,Q12544,1050
Ann-Christine Ruuth,female,Sweden,Q34,1952
Kaye Fox,female,United States,Q30,1942
Susan Stanton,female,United States,Q30,1959
Tine Lindhardt,female,Kingdom of Denmark,Q756617,1957
Ruth Mosley,female,United States,Q30,1929
Deolinda Dorcas Teca,female,Angola,Q916,1964
Ingeborg Sommer,female,Norway,Q20,1972
Lene Sjørup,female,Kingdom of Denmark,Q756617,1946
Martina Akeson Wollbo,female,Sweden,Q34,1964
Susanne Dahl,female,Sweden,Q34,1974
Karolína Sofia Pavala,female,Czech Republic,Q213,1976
Kirsten Dissing,female,Kingdom of Denmark,Q756617,1945
Matilda Helg,female,Sweden,Q34,1981
Karin Björk,female,Sweden,Q34,1961
Catharina Helmersson,female,Sweden,Q34,1958
Ingrid Brækken Melve,female,Norway,Q20,1986
MalashKatibatu,female,Taiwan,Q865,1937
Elisabeth Thorsen,female,Norway,Q20,1966
Ulla Thorbjørn Hansen,female,Kingdom of Denmark,Q756617,1966
Katarina Wändahl,female,Sweden,Q34,1969
Mari Parkkinen,female,Finland,Q33,1971
Lauha Peltola,female,Finland,Q33,1930
Helen Dawes,female,United Kingdom,Q145,1974
Livie Dvořáková,female,Czech Republic,Q213,1938
Lone Seidenfaden,female,Kingdom of Denmark,Q756617,1923
Paula Vennells,female,United Kingdom,Q145,1959
Ylwa Gustafsson,female,Sweden,Q34,1937
Marika Markovits,female,Sweden,Q34,1964
Ilse Sand,female,Kingdom of Denmark,Q756617,1962
Helle Christiansen,female,Kingdom of Denmark,Q756617,1957
Helena Korhonen,female,Finland,Q33,1956
Jiřina Kubíková,female,Czechoslovakia,Q33946,1930
Kim Jackson,female,United States,Q30,1950
Mãe Gilda de Ogum,female,Brazil,Q155,1935
Mãe Lira de Iemanjá Ogunté,female,Brazil,Q155,1906
Hilde Raastad,female,Norway,Q20,1960
Sergij Aleksandrovič Kuzʹmenkov,female,Ukraine,Q212,1962
Pauliina Kainulainen,female,Finland,Q33,1968
Maria Akerstrom,female,Sweden,Q34,1970
Bono Ravlić,female,Bosnia and Herzegovina,Q225,1914
Maren Sørensen,female,Kingdom of Denmark,Q756617,1882
Vivianne Wetterling,female,Sweden,Q34,1951
Boel Johansson,female,Sweden,Q34,1952
Emma Hedlundh,female,Sweden,Q34,1978
Manilla Okomdal Nordanstig,female,Sweden,Q34,1973
Linda Isberg,female,Sweden,Q34,1977
Dianne Nicolios,female,Australia,Q408,1947
Kristin Windolf,female,Sweden,Q34,1967
Lena Malmgren,female,Sweden,Q34,1942
Elfriede Kreuzeder,female,Austria,Q40,1927
Amanda Bloor,female,United Kingdom,Q145,1962
Lysimache,female,Classical Athens,Q844930,-452
Raila Mantere,female,Finland,Q33,1951
Annahita Parsan,female,Sweden,Q34,1962
Annikki Huhta,female,Finland,Q33,1946
Maureen Mackey,female,United States,Q30,1943
"Carol Wodehouse, Countess of Kimberley",female,United Kingdom,Q145,1951
Doris Tutill,female,New Zealand,Q664,1916
Dolores Dorantes,female,Mexico,Q96,1973
Edith Brenneche Petersen,female,Kingdom of Denmark,Q756617,1896
Robin Ashley Payne,female,Australia,Q408,1946
Peta Sherlock,female,Australia,Q408,1946
Camilla Lif,female,Sweden,Q34,1967
Lisa Tegby,female,Sweden,Q34,1949
Kerstin Oderhem,female,Sweden,Q34,1970
Waitohiariki Quayle,female,New Zealand,Q664,1950
Shirley Griffiths,female,United Kingdom,Q145,1948
Inga-Märtha Isacson,female,Sweden,Q34,1954
Helene Egnell,female,Sweden,Q34,1957
Monique Wilson,female,United Kingdom,Q145,1928
Louise Linder,female,Sweden,Q34,1963
Cristina Grenholm,female,Sweden,Q34,1959
Ingegerd Fries,female,Sweden,Q34,1921
Susanne Rappmann,female,Sweden,Q34,1965
Pamela Cooper-White,female,United States,Q30,1955
Bodil Tybjerg,female,Kingdom of Denmark,Q756617,1946
Evgenia Kleidara,female,Greece,Q41,1929
Bonnie Perry,female,United States,Q30,1962
Viviane Brunieri,female,Brazil,Q155,1976
Christina Odenberg,female,Sweden,Q34,1940
Irja Askola,female,Finland,Q33,1952
Rosemarie Köhn,female,Norway,Q20,1939
Maatkare Mutemhat,female,Ancient Egypt,Q11768,-1100
Maxine Sanders,female,United Kingdom,Q145,1946
Cecilia Wikström,female,Sweden,Q34,1965
Patricia Crowther,female,United Kingdom,Q145,1927
Ida Auken,female,Kingdom of Denmark,Q756617,1978
Helga Haugland Byfuglien,female,Norway,Q20,1950
Solveig Fiske,female,Norway,Q20,1952
Caroline Krook,female,Sweden,Q34,1944
Rosemarie Wenner,female,Germany,Q183,1955
Agnes M. Sigurðardóttir,female,Iceland,Q189,1954
Helen Bjørnøy,female,Norway,Q20,1954
Sofie Petersen,female,Kingdom of Denmark,Q756617,1955
Laila Riksaasen Dahl,female,Norway,Q20,1947
Lise-Lotte Rebel,female,Kingdom of Denmark,Q756617,1951
Doreen Valiente,female,United Kingdom,Q145,1922
Saint Paulina,female,Brazil,Q155,1865
Margrete Auken,female,Kingdom of Denmark,Q756617,1945
Barbara Harris,female,United States,Q30,1930
Eumachia,female,Ancient Rome,Q1747689,50
Eva Brunne,female,Sweden,Q34,1954
Anne-Louise Eriksson,female,Sweden,Q34,1952
Charlotte Methuen,female,United Kingdom,Q145,1964
Marianne Gaarden,female,Kingdom of Denmark,Q756617,1964
Anni Pesonen,female,Finland,Q33,1971
Mary Hannah Graves,female,United States,Q30,1839
Ba Børresen,female,Norway,Q20,1918
Elina Hundere Hermansen,female,Norway,Q20,1864
Marianne Bjelland Kartzow,female,Norway,Q20,1971
Auður Eir Vilhjálmsdóttir,female,Iceland,Q189,1937
Guli Francis-Dehqani,female,United Kingdom,Q145,1966
Karin Johannesson,female,Sweden,Q34,1970
Herborg Finnset,female,Norway,Q20,1961
Hulda Hrönn Mundudóttir Helgadóttir,female,Iceland,Q189,1961
Helga Helena Sturlaugsdóttir,female,Iceland,Q189,1973
Elínborg Gísladóttir,female,Iceland,Q189,1959
Brynhildur Óladóttir,female,Iceland,Q189,1964
Eija Nivala,female,Finland,Q33,1967
Stín a Gísladóttir,female,Iceland,Q189,1943
Solveig Lára Guðmundsdótttir,female,Iceland,Q189,1956
Sjöfn Jóhannesdóttir,female,Iceland,Q189,1953
Sigrún Óskarsdóttir,female,Iceland,Q189,1965
María Ágústsdóttir,female,Iceland,Q189,1968
Kristín Pálsdóttir,female,Iceland,Q189,1963
Jóna Hrönn Bolladóttir,female,Iceland,Q189,1964
Jóhanna Ingibjörg Sigmarsdóttir,female,Iceland,Q189,1944
Íris Kristjánsdóttir,female,Iceland,Q189,1971
Ingileif Malmberg,female,Iceland,Q189,1964
Nancey Jackson Johnson,female,United States,Q30,1968
Prue O’Donovan,female,Australia,Q408,1950
Mina Smallman,female,United Kingdom,Q145,1956
Liisa Tuovinen,female,Finland,Q33,1938
Kanja Odland,female,Sweden,Q34,1963
Pirkko Arola,female,Finland,Q33,1946
Kari Veiteberg,female,Norway,Q20,1961
Mari Saltkjel,female,Norway,Q20,1976
Heather Cook,female,United States,Q30,1956
Charlotte Dyremose,female,Kingdom of Denmark,Q756617,1977
Helen Cunliffe,female,United Kingdom,Q145,1954
Anne Braad,female,Kingdom of Denmark,Q756617,1947
Moira Astin,female,United Kingdom,Q145,1965
Rose Hudson-Wilkin,female,United Kingdom,Q145,1961
Kari Leine Balog,female,Norway,Q20,1950
Wilma Kucharek,female,United States,Q30,1954
Marianne Heikkilä,female,Finland,Q33,1968
Helen-Ann Hartley,female,United Kingdom,Q145,1973
Elizabeth Snowden,female,United Kingdom,Q145,1958
Jana Šilerová,female,Czech Republic,Q213,1950
Fleming Rutledge,female,United States,Q30,1937
Hope Morgan Ward,female,United States,Q30,1951
Inija Trinkūnienė,female,Lithuania,Q37,1951
Karen Hutchinson,female,United Kingdom,Q145,1964
Vivienne Faull,female,United Kingdom,Q145,1955
Rusudan Gotsiridze,female,Georgia,Q230,1975
Eva Nordung Byström,female,Sweden,Q34,1957
Ann-Helen Fjeldstad Jusnes,female,Norway,Q20,1956
Celia M. Burleigh,female,United States,Q30,1826
Pat Storey,female,Ireland,Q27,1960
Sunniva Gylver,female,Norway,Q20,1967
Maur Maria Boix i Selva,female,Spain,Q29,1919
Margrethe Holmboe Askeland,female,Norway,Q20,1952
Vicentia Kgabe,female,South Africa,Q258,1976
Ingrid Vad Nilsen,female,Norway,Q20,1957
Pushpa Lalitha,female,India,Q668,1956
Kathy Jones,female,Wales,Q25,1968
Ruth Patterson,female,United Kingdom,Q145,1944
Jo Wells,female,United Kingdom,Q145,1965
Elin Vangen,female,Norway,Q20,1960
Sarah Mullally,female,United Kingdom,Q145,1962
Berit Øksnes Gjerløw,female,Norway,Q20,1959
Jan McFarlane,female,United Kingdom,Q145,1964
Elizabeth Alfred,female,Australia,Q408,1914
Yūkō Miyasaka,female,Japan,Q17,1950
Astrid Bjellebø Bayegan,female,Norway,Q20,1943
Violeta Vladimira Mesarič Jazbinšek,female,Slovenia,Q215,1972
Solveig Tufte Johansen,female,Norway,Q20,1945
Jovita Zettin,female,Austrian Empire,Q131964,1814
Nea Kontio,female,Finland,Q33,1953
Anne Hege Grung,female,Norway,Q20,1965
Riina Laurila-Castrén,female,Finland,Q33,1974
Anne Brit Aasland,female,Norway,Q20,1951
