name,gender,nationality,nationalityID,birth
Akon,other,United States,Q30,1973
Dustin the Turkey,other,Ireland,Q27,1988
Raven van Dorst,other,Kingdom of the Netherlands,Q29999,1984
Elly Jackson,other,United Kingdom,Q145,1988
Genesis P-Orridge,other,United Kingdom,Q145,1950
Mica Levi,other,United Kingdom,Q145,1987
Alex Newell,other,United States,Q30,1992
Ezra Miller,other,United States,Q30,1992
John Cameron Mitchell,other,United States,Q30,1963
Kimya Dawson,other,United States,Q30,1972
Alyson Stoner,other,United States,Q30,1993
Eliot Sumner,other,United Kingdom,Q145,1990
Rose McGowan,other,United States,Q30,1973
Maddie Taylor,female,United States,Q30,1966
Ayta Sözeri,female,Turkey,Q43,1976
Chen Lili,female,People's Republic of China,Q148,1980
Alexandra Billings,female,United States,Q30,1962
Scarlett la Queen,female,Russia,Q159,1980
Bell Nuntita,female,Thailand,Q869,1983
Britney Houston,female,United States,Q30,1993
Adèle Anderson,female,United Kingdom,Q145,1952
Barbra Amesbury,female,Canada,Q16,1948
Aérea Negrot,female,Germany,Q183,1980
Meghan Chavalier,female,United States,Q30,1969
Titica,female,Angola,Q916,1987
Karen Dior,female,United States,Q30,1967
Eva Robin's,female,Italy,Q38,1958
Zi Faámelu,female,Ukraine,Q212,1990
Kelly van der Veer,female,Kingdom of the Netherlands,Q29999,1980
Bibiana Fernández,female,Spain,Q29,1954
ANOHNI,female,United States,Q30,1971
Teddy Geiger,female,United States,Q30,1988
Harisu,female,South Korea,Q884,1975
Cara Cunningham,female,United States,Q30,1987
Marie France,female,France,Q142,1946
Ataru Nakamura,female,Japan,Q17,1985
Dorce Gamalama,female,Indonesia,Q252,1963
Marcie Free,female,United States,Q30,1954
Lee Si-yeon,female,South Korea,Q884,1980
Bülent Ersoy,female,Turkey,Q43,1952
Ai Haruna,female,Japan,Q17,1972
Cindy Thai Tai,female,Vietnam,Q881,1981
Aderet,female,Israel,Q801,1975
Christine Jorgensen,female,United States,Q30,1926
Amanda Lepore,female,United States,Q30,1967
Dana International,female,Israel,Q801,1972
Romy Haag,female,Germany,Q183,1951
Jeanette Schmid,female,Czech Republic,Q213,1924
Daniel Küblböck,female,Germany,Q183,1985
Iz Hesketh,other,United Kingdom,Q145,1997
Gad Yola,other,Peru,Q419,1995
Jota Carajota,other,Spain,Q29,2002
Majur,other,Brazil,Q155,1995
Flor Amargo,other,Mexico,Q96,1988
Asakura Kate,other,Japan,Q17,1980
Salvador Sobral,other,Portugal,Q45,1989
Chosen Effect,other,United States,Q30,1901
Eden Alm,other,Sweden,Q34,1999
Len,other,Russia,Q159,1990
Božo Vrećo,other,Bosnia and Herzegovina,Q225,1983
Kim Petras,female,Germany,Q183,1992
Felicia Garza,female,United States,Q30,1941
Ve'ondre Mitchell,female,United States,Q30,2004
Carmen Xtravaganza,female,United States,Q30,1961
La Briochée,female,France,Q142,1991
The Countess,female,French Third Republic,Q70802,1900
Wendy Guevara,female,Mexico,Q96,1993
Charlotte Charlaque,female,German Reich,Q1206012,1892
Ryu Nine,female,South Korea,Q884,1983
Connie Sgarbossa,female,United States,Q30,1995
Amor Romeira,female,Spain,Q29,1989
Britney Manson,female,Russia,Q159,1995
Marina Kapoor,female,Peru,Q419,1987
Divina Valéria,female,Brazil,Q155,1944
Lâm Khánh Chi,female,Vietnam,Q881,1977
Plastic Martyr,female,United States,Q30,1989
Electra Elite,female,Serbia,Q403,1977
Macy Rodman,female,United States,Q30,1990
Danny Bond,female,Brazil,Q155,1997
Holly Parker,female,United States,Q30,1991
Quinn,female,United States,Q30,2004
Ethel Cain,female,United States,Q30,1998
Marissa Martinez,female,United States,Q30,1975
Ayelén Beker,female,Argentina,Q414,1989
Marcella Maia,female,Brazil,Q155,1991
Shyraa Roy,female,Pakistan,Q843,1995
Lauren Auder,female,France,Q142,1999
Jedet,female,Spain,Q29,1992
Zulma Lobato,female,Argentina,Q414,1958
Louïz,female,France,Q142,1984
Jup do Bairro,female,Brazil,Q155,1993
Leonie Dorado,female,Bolivia,Q750,1993
Marina Mathey,female,Brazil,Q155,1993
FaulenzA,female,Germany,Q183,1988
Lucinta Luna,female,Indonesia,Q252,1989
Mel Gonçalves,female,Brazil,Q155,1991
Maxime Albertazzi,female,Kingdom of the Netherlands,Q29999,2004
Trinity K. Bonet,female,United States,Q30,1991
Marcelly Morena,female,Brazil,Q155,1986
Violeta la Burra,female,Spain,Q29,1936
Nataša Maza,female,Serbia,Q403,1982
Juriji der Klee,female,Spain,Q29,1990
Chloe Dzubilo,female,United States,Q30,1960
Gia Gunn,female,United States,Q30,1990
Zemmoa,female,Mexico,Q96,1986
Hương Giang,female,Vietnam,Q881,1992
Miss Benny,female,United States,Q30,1999
Jaloo,female,Brazil,Q155,1987
Tona Brown,female,United States,Q30,1979
Michaela Jaé Rodriguez,female,United States,Q30,1991
Jiggly Caliente,female,United States,Q30,1981
Tone Sekelius,female,Sweden,Q34,1997
Roberta Marrero,female,Spain,Q29,1972
Salome,female,Socialist Federal Republic of Yugoslavia,Q83286,1968
Liniker,female,Brazil,Q155,1995
Alexandra Grey,female,United States,Q30,1991
Jennifer Maidman,female,United Kingdom,Q145,1958
Sir Lady Java,female,United States,Q30,1943
Quay Dash,female,United States,Q30,1992
Mya Taylor,female,United States,Q30,1991
Jackie Shane,female,United States,Q30,1940
Abigail Pereira,female,Uruguay,Q77,1986
Patricia Ribeiro,female,Portugal,Q45,1981
