name,gender,nationality,nationalityID,birth
Wolfgang Rieke,male,Germany,Q183,1961
Becker András,male,Hungary,Q28,1980
Sabiyah Broderick,female,United States,Q30,1995
Clara Elizabeth Fragoso Ugarte,female,Mexico,Q96,1972
Angelica Larsson,female,Sweden,Q34,1990
Iwona Blecharczyk,female,Poland,Q36,1987
Rigmor Gnatt,female,New Zealand,Q664,1929
Marcelle Lafont,female,France,Q142,1905
Caroline Klenczon,female,United States,Q30,1969
Massata Cissé,female,Burkina Faso,Q965,1961
Aline Füchter Ouriques,female,Brazil,Q155,1990
Thora Daphne Holzheimer,female,Australia,Q408,1934
Celia Rivas Casais,female,Spain,Q29,1912
Susan Hawk,female,United States,Q30,1961
Mehreen Syed,female,Pakistan,Q843,1975
Maria Braig,female,Germany,Q183,1957
Paulo Nabhan,male,Brazil,Q155,1923
Jonas Henriksen,male,Norway,Q20,1993
Kosoul Chanthakoummane,male,United States,Q30,1980
Joaquim Antônio Neto,male,Brazil,Q155,1936
Zé Trovão,male,Brazil,Q155,1988
Tad Damron,male,United States,Q30,1973
Heinrich Pingel,male,Germany,Q183,1948
"Gary ""Boo Boo"" Giuffrida",male,United States,Q30,1954
Petrus van Lieshout,male,Kingdom of the Netherlands,Q29999,1909
Geuchien Kreuze,male,Kingdom of the Netherlands,Q29999,1910
Marcel Drouin,male,France,Q142,1904
Edward Durr,male,United States,Q30,1963
"Samuel ""Sam"" Smith",male,United States,Q30,1980
Petro Hrudzevych,male,Ukraine,Q212,1939
John Coster-Mullen,male,United States,Q30,1946
John S. Daschbach,male,United States,Q30,1913
Robert Myers Jr.,male,United States,Q30,1983
Juan Barrios,male,Chile,Q298,1966
Jeffrey Ronald Henry Muzljakovich,male,United States,Q30,1963
José Luis Cerveto,male,Spain,Q29,1939
Paul Vasquez,male,United States,Q30,1962
Raymond Mitchell,male,United States,Q30,1946
Valeriy Andreev,male,Russia,Q159,1957
Wissam el-Yamni,male,France,Q142,1981
Dorel-Gheorghe Acatrinei,male,Romania,Q218,1977
Johannes Simon,male,German Democratic Republic,Q16957,1923
Carl Boudreaux,male,United States,Q30,1976
Bartolomé Rubia,male,Spain,Q29,1971
Hennadii Shutov,male,Belarus,Q184,1975
Norhizam Hassan Baktee,male,Malaysia,Q833,1966
Anibal Francisco de Brito,male,United States,Q30,1929
Jerome Michael Zottolo,male,United States,Q30,1944
Ronald Willenkamp,male,United States,Q30,1944
James Quigley,male,United States,Q30,1942
Seth Ator,male,United States,Q30,1982
Robert Bowers,male,United States,Q30,1972
Andrei Bazhutin,male,Russia,Q159,1971
Forrest Lucas,male,United States,Q30,1942
Heikki Määttänen,male,Finland,Q33,1915
Robert Gray,male,United States,Q30,1968
Joe M. Lucero,male,United States,Q30,1937
Luis Juarez,male,Mexico,Q96,1965
Kelly Doyle Oliver,male,United States,Q30,1953
Sturla Jónsson,male,Iceland,Q189,1966
George Floyd,male,United States,Q30,1973
Ihor Horożankin,male,Ukraine,Q212,1957
Vadim Dubovsky,male,Ukraine,Q212,1964
Konsta Jylhä,male,Finland,Q33,1910
Costel Băloiu,male,Romania,Q218,1959
Ricardo Valencia,male,Spain,Q29,1959
Stuart St. Clair,male,Australia,Q408,1949
Lindsay Fox,male,Australia,Q408,1937
Leland Martin,male,United States,Q30,1957
John Couey,male,United States,Q30,1958
Ahmad El-Maati,male,Canada,Q16,1964
Abraham Shakespeare,male,United States,Q30,1966
Nils R. Sandal,male,Norway,Q20,1950
Arne Vidar Røed,male,Norway,Q20,1946
Jim Baker,male,United Kingdom,Q145,1966
Jack Donovan,male,United States,Q30,1974
Douglas Crabbe,male,Australia,Q408,1947
Carl Crim,male,United States,Q30,1915
Bradley John Murdoch,male,Australia,Q408,1958
Bobby Frank Cherry,male,United States,Q30,1930
Alex Gallacher,male,Australia,Q408,1954
Han Balvert,male,Kingdom of the Netherlands,Q29999,1916
Rolland McMaster,male,United States,Q30,1914
Timothy Evans,male,United Kingdom,Q145,1924
Werner Waldhoff,male,Germany,Q183,1943
Sputnik,male,Norway,Q20,1943
Marc Fievet,male,France,Q142,1944
Frank Eugene Corder,male,United States,Q30,1956
Henk Geels,male,Kingdom of the Netherlands,Q29999,1942
Keith Hunter Jesperson,male,Canada,Q16,1955
Wilfried Schmickler,male,Germany,Q183,1954
William Bonin,male,United States,Q30,1947
Larry Walters,male,United States,Q30,1949
Günter Holwas,male,Germany,Q183,1950
Mr. Marcus,male,United States,Q30,1970
Erri De Luca,male,Italy,Q38,1950
Peter Sutcliffe,male,United Kingdom,Q145,1946
Frank Sheeran,male,United States,Q30,1920
Volker Eckert,male,Germany,Q183,1959
Drew Jacksich,male,United States,Q30,1946
Gordon Marsh,male,United Kingdom,Q145,1926
Georgiy Pavlovich Osipov,male,Soviet Union,Q15180,1920
Maher Al Jazi,male,Jordan,Q810,1985
Bernie Power,male,New Zealand,Q664,1945
Karen Gale,female,United Kingdom,Q145,1958
